COUNTRY_NAME,CASES_DEATHS,epiweek,ISO_YEAR,ISO_WEEK,WHO_REGION,ISO_3_CODE,SEX,AGEGROUP,AGEGROUP_NUM
UNITED STATES OF AMERICA,3879,2023-01-02,2023,1,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,3698,2023-01-09,2023,2,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,3260,2023-01-16,2023,3,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2917,2023-01-23,2023,4,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2647,2023-01-30,2023,5,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2350,2023-02-06,2023,6,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2106,2023-02-13,2023,7,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2155,2023-02-20,2023,8,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2002,2023-02-27,2023,9,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1848,2023-03-06,2023,10,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1763,2023-03-13,2023,11,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1670,2023-03-20,2023,12,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1451,2023-03-27,2023,13,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1374,2023-04-03,2023,14,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1220,2023-04-10,2023,15,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1198,2023-04-17,2023,16,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1030,2023-04-24,2023,17,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,953,2023-05-01,2023,18,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,840,2023-05-08,2023,19,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,759,2023-05-15,2023,20,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,743,2023-05-22,2023,21,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,697,2023-05-29,2023,22,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,633,2023-06-05,2023,23,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,613,2023-06-12,2023,24,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,584,2023-06-19,2023,25,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,543,2023-06-26,2023,26,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,493,2023-07-03,2023,27,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,509,2023-07-10,2023,28,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,540,2023-07-17,2023,29,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,553,2023-07-24,2023,30,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,672,2023-07-31,2023,31,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,754,2023-08-07,2023,32,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,925,2023-08-14,2023,33,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1068,2023-08-21,2023,34,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1189,2023-08-28,2023,35,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1317,2023-09-04,2023,36,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1410,2023-09-11,2023,37,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1418,2023-09-18,2023,38,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1457,2023-09-25,2023,39,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1402,2023-10-02,2023,40,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1316,2023-10-09,2023,41,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1392,2023-10-16,2023,42,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1291,2023-10-23,2023,43,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1247,2023-10-30,2023,44,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1392,2023-11-06,2023,45,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1431,2023-11-13,2023,46,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1427,2023-11-20,2023,47,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1730,2023-11-27,2023,48,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1792,2023-12-04,2023,49,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1849,2023-12-11,2023,50,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1936,2023-12-18,2023,51,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2229,2023-12-25,2023,52,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2494,2024-01-01,2024,1,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2585,2024-01-08,2024,2,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2362,2024-01-15,2024,3,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2128,2024-01-22,2024,4,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1738,2024-01-29,2024,5,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1613,2024-02-05,2024,6,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1386,2024-02-12,2024,7,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1316,2024-02-19,2024,8,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1261,2024-02-26,2024,9,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1098,2024-03-04,2024,10,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1033,2024-03-11,2024,11,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,834,2024-03-18,2024,12,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,727,2024-03-25,2024,13,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,622,2024-04-01,2024,14,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,556,2024-04-08,2024,15,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,485,2024-04-15,2024,16,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,416,2024-04-22,2024,17,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,409,2024-04-29,2024,18,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,323,2024-05-06,2024,19,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,323,2024-05-13,2024,20,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,329,2024-05-20,2024,21,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,301,2024-05-27,2024,22,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,278,2024-06-03,2024,23,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,263,2024-06-10,2024,24,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,187,2024-06-17,2024,25,AMRO,USA,All,All,0
