COUNTRY_NAME,CASES_DEATHS,epiweek,ISO_YEAR,ISO_WEEK,WHO_REGION,ISO_3_CODE,SEX,AGEGROUP,AGEGROUP_NUM
UNITED STATES OF AMERICA,3879,2023-01-02,2023,1,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,3700,2023-01-09,2023,2,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,3252,2023-01-16,2023,3,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2916,2023-01-23,2023,4,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2648,2023-01-30,2023,5,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2351,2023-02-06,2023,6,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2105,2023-02-13,2023,7,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2160,2023-02-20,2023,8,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1998,2023-02-27,2023,9,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1854,2023-03-06,2023,10,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1767,2023-03-13,2023,11,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1670,2023-03-20,2023,12,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1450,2023-03-27,2023,13,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1373,2023-04-03,2023,14,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1221,2023-04-10,2023,15,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1197,2023-04-17,2023,16,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1029,2023-04-24,2023,17,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,951,2023-05-01,2023,18,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,839,2023-05-08,2023,19,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,759,2023-05-15,2023,20,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,742,2023-05-22,2023,21,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,697,2023-05-29,2023,22,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,633,2023-06-05,2023,23,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,613,2023-06-12,2023,24,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,582,2023-06-19,2023,25,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,544,2023-06-26,2023,26,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,491,2023-07-03,2023,27,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,507,2023-07-10,2023,28,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,540,2023-07-17,2023,29,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,548,2023-07-24,2023,30,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,670,2023-07-31,2023,31,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,753,2023-08-07,2023,32,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,922,2023-08-14,2023,33,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1063,2023-08-21,2023,34,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1189,2023-08-28,2023,35,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1313,2023-09-04,2023,36,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1407,2023-09-11,2023,37,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1416,2023-09-18,2023,38,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1455,2023-09-25,2023,39,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1401,2023-10-02,2023,40,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1312,2023-10-09,2023,41,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1391,2023-10-16,2023,42,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1288,2023-10-23,2023,43,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1246,2023-10-30,2023,44,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1389,2023-11-06,2023,45,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1427,2023-11-13,2023,46,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1419,2023-11-20,2023,47,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1723,2023-11-27,2023,48,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1786,2023-12-04,2023,49,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1839,2023-12-11,2023,50,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1929,2023-12-18,2023,51,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2214,2023-12-25,2023,52,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2474,2024-01-01,2024,1,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2561,2024-01-08,2024,2,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2337,2024-01-15,2024,3,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2103,2024-01-22,2024,4,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1714,2024-01-29,2024,5,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1569,2024-02-05,2024,6,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1351,2024-02-12,2024,7,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1272,2024-02-19,2024,8,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1218,2024-02-26,2024,9,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1032,2024-03-04,2024,10,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,965,2024-03-11,2024,11,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,716,2024-03-18,2024,12,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,476,2024-03-25,2024,13,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,266,2024-04-01,2024,14,AMRO,USA,All,All,0
