COUNTRY_NAME,CASES_DEATHS,epiweek,ISO_YEAR,ISO_WEEK,WHO_REGION,ISO_3_CODE,SEX,AGEGROUP,AGEGROUP_NUM
UNITED STATES OF AMERICA,3879,2023-01-02,2023,1,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,3699,2023-01-09,2023,2,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,3252,2023-01-16,2023,3,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2915,2023-01-23,2023,4,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2648,2023-01-30,2023,5,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2351,2023-02-06,2023,6,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2104,2023-02-13,2023,7,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2159,2023-02-20,2023,8,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1998,2023-02-27,2023,9,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1853,2023-03-06,2023,10,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1766,2023-03-13,2023,11,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1670,2023-03-20,2023,12,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1450,2023-03-27,2023,13,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1372,2023-04-03,2023,14,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1221,2023-04-10,2023,15,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1196,2023-04-17,2023,16,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1028,2023-04-24,2023,17,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,950,2023-05-01,2023,18,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,838,2023-05-08,2023,19,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,759,2023-05-15,2023,20,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,741,2023-05-22,2023,21,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,696,2023-05-29,2023,22,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,633,2023-06-05,2023,23,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,612,2023-06-12,2023,24,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,579,2023-06-19,2023,25,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,543,2023-06-26,2023,26,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,490,2023-07-03,2023,27,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,507,2023-07-10,2023,28,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,537,2023-07-17,2023,29,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,546,2023-07-24,2023,30,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,669,2023-07-31,2023,31,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,751,2023-08-07,2023,32,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,922,2023-08-14,2023,33,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1061,2023-08-21,2023,34,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1188,2023-08-28,2023,35,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1311,2023-09-04,2023,36,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1403,2023-09-11,2023,37,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1416,2023-09-18,2023,38,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1451,2023-09-25,2023,39,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1395,2023-10-02,2023,40,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1310,2023-10-09,2023,41,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1385,2023-10-16,2023,42,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1287,2023-10-23,2023,43,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1241,2023-10-30,2023,44,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1381,2023-11-06,2023,45,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1418,2023-11-13,2023,46,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1413,2023-11-20,2023,47,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1707,2023-11-27,2023,48,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1773,2023-12-04,2023,49,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1817,2023-12-11,2023,50,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1903,2023-12-18,2023,51,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2172,2023-12-25,2023,52,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2423,2024-01-01,2024,1,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2510,2024-01-08,2024,2,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2267,2024-01-15,2024,3,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,2004,2024-01-22,2024,4,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1579,2024-01-29,2024,5,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,1322,2024-02-05,2024,6,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,949,2024-02-12,2024,7,AMRO,USA,All,All,0
UNITED STATES OF AMERICA,510,2024-02-19,2024,8,AMRO,USA,All,All,0
